"Man","Sparkes","msparkes0@springhow.com","Engineering"
"Dulcinea","Terzi","dterzi1@springhow.com","Engineering"
"Tamar","Bedder","tbedder2@springhow.com","Legal"
"Vance","Scouller","vscouller3@springhow.com","Sales"
"Gran","Jagoe","gjagoe4@springhow.com","Business Development"
"Man","Sparkes","msparkes0@springhow.com","Engineering"
"Dulcinea","Terzi","dterzi1@springhow.com","Engineering"
"Tamar","Bedder","tbedder2@springhow.com","Legal"
"Vance","Scouller","vscouller3@springhow.com","Sales"
"Gran","Jagoe","gjagoe4@springhow.com","Business Development"
"Man""Sparkes""msparkes0@springhow.com""Engineering"
"Dulcinea""Terzi""dterzi1@springhow.com""Engineering"
"Tamar""Bedder""tbedder2@springhow.com""Legal"
"Vance""Scouller""vscouller3@springhow.com""Sales"
"Gran""Jagoe""gjagoe4@springhow.com""Business Development"
[Ljava.lang.String;@28eaa59a[Ljava.lang.String;@3427b02d[Ljava.lang.String;@647e447[Ljava.lang.String;@41fbdac4[Ljava.lang.String;@3c407114[Ljava.lang.String;@41fbdac4[Ljava.lang.String;@188715b5[Ljava.lang.String;@1ea9f6af[Ljava.lang.String;@6a192cfe[Ljava.lang.String;@5119fb47[Man, Sparkes, msparkes0@springhow.com, Engineering][Dulcinea, Terzi, dterzi1@springhow.com, Engineering][Tamar, Bedder, tbedder2@springhow.com, Legal][Vance, Scouller, vscouller3@springhow.com, Sales][Gran, Jagoe, gjagoe4@springhow.com, Business Development][Man, Sparkes, msparkes0@springhow.com, Engineering][Dulcinea, Terzi, dterzi1@springhow.com, Engineering][Tamar, Bedder, tbedder2@springhow.com, Legal][Vance, Scouller, vscouller3@springhow.com, Sales][Gran, Jagoe, gjagoe4@springhow.com, Business Development]
